date,hour,hourQuarter,count_pickup,count_return,day_of_week,historical_average_pickup,historical_average_return,monthly_historical_average_pickup,monthly_historical_average_return
2018-01-01,0,0,0,0,0,0.42857142857142855,0.14285714285714285,0.35,0.15
2018-01-01,0,1,0,0,0,0.23809523809523808,0.09523809523809523,0.25,0.1
2018-01-01,0,2,0,0,0,0.14285714285714285,0.0,0.15,0.0
2018-01-01,0,3,0,0,0,0.047619047619047616,0.047619047619047616,0.05,0.05
2018-01-01,1,0,0,0,0,0.09523809523809523,0.09523809523809523,0.1,0.1
2018-01-01,1,1,3,0,0,0.14285714285714285,0.0,0.15,0.0
2018-01-01,1,2,2,0,0,0.047619047619047616,0.0,0.05,0.0
2018-01-01,1,3,0,0,0,0.0,0.047619047619047616,0.0,0.05
2018-01-01,2,0,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,2,1,0,0,0,0.047619047619047616,0.0,0.05,0.0
2018-01-01,2,2,0,0,0,0.047619047619047616,0.0,0.05,0.0
2018-01-01,2,3,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,3,0,0,0,0,0.047619047619047616,0.0,0.05,0.0
2018-01-01,3,1,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,3,2,0,0,0,0.047619047619047616,0.0,0.05,0.0
2018-01-01,3,3,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,4,0,0,1,0,0.0,0.0,0.0,0.0
2018-01-01,4,1,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,4,2,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,4,3,0,0,0,0.047619047619047616,0.0,0.05,0.0
2018-01-01,5,0,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,5,1,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,5,2,0,0,0,0.19047619047619047,0.14285714285714285,0.2,0.15
2018-01-01,5,3,0,0,0,0.09523809523809523,0.9523809523809523,0.1,1.0
2018-01-01,6,0,0,0,0,0.6190476190476191,1.0,0.65,1.0
2018-01-01,6,1,0,0,0,0.14285714285714285,1.0,0.1,0.95
2018-01-01,6,2,0,0,0,0.7619047619047619,0.9523809523809523,0.8,0.95
2018-01-01,6,3,0,0,0,0.5714285714285714,1.2857142857142858,0.55,1.25
2018-01-01,7,0,0,0,0,0.23809523809523808,0.6190476190476191,0.25,0.55
2018-01-01,7,1,0,0,0,1.0,1.0,0.95,0.95
2018-01-01,7,2,0,0,0,1.1904761904761905,1.5238095238095237,1.15,1.45
2018-01-01,7,3,0,0,0,1.7619047619047619,2.9523809523809526,1.6,2.85
2018-01-01,8,0,0,0,0,1.1904761904761905,2.4761904761904763,1.2,2.45
2018-01-01,8,1,0,0,0,2.4285714285714284,3.0,2.4,2.95
2018-01-01,8,2,0,0,0,2.0476190476190474,4.0476190476190474,2.15,3.9
2018-01-01,8,3,0,1,0,3.3333333333333335,6.380952380952381,2.95,6.05
2018-01-01,9,0,1,0,0,2.5714285714285716,7.238095238095238,2.6,6.95
2018-01-01,9,1,0,0,0,2.4761904761904763,7.142857142857143,2.55,6.75
2018-01-01,9,2,0,0,0,2.2857142857142856,4.9523809523809526,2.2,4.95
2018-01-01,9,3,0,0,0,2.0952380952380953,3.9523809523809526,2.15,3.95
2018-01-01,10,0,0,0,0,2.0,2.6666666666666665,1.85,2.65
2018-01-01,10,1,0,0,0,2.2857142857142856,3.0476190476190474,2.1,3.05
2018-01-01,10,2,0,0,0,2.4285714285714284,2.5238095238095237,2.45,2.35
2018-01-01,10,3,0,0,0,1.8571428571428572,2.7142857142857144,1.85,2.7
2018-01-01,11,0,0,0,0,1.4285714285714286,2.1904761904761907,1.25,2.2
2018-01-01,11,1,0,0,0,1.6666666666666667,1.9523809523809523,1.5,1.9
2018-01-01,11,2,0,0,0,2.0952380952380953,2.3333333333333335,2.0,2.15
2018-01-01,11,3,0,1,0,3.142857142857143,2.5238095238095237,2.95,2.4
2018-01-01,12,0,0,0,0,2.8095238095238093,2.238095238095238,2.7,2.3
2018-01-01,12,1,0,0,0,1.8095238095238095,2.5238095238095237,1.7,2.4
2018-01-01,12,2,0,0,0,1.9047619047619047,2.8095238095238093,1.95,2.7
2018-01-01,12,3,0,0,0,2.7142857142857144,2.619047619047619,2.75,2.55
2018-01-01,13,0,1,1,0,2.4761904761904763,2.619047619047619,2.55,2.6
2018-01-01,13,1,1,0,0,2.2857142857142856,2.761904761904762,2.2,2.8
2018-01-01,13,2,0,1,0,2.0952380952380953,2.4285714285714284,1.95,2.35
2018-01-01,13,3,0,1,0,3.142857142857143,2.9523809523809526,3.1,3.0
2018-01-01,14,0,0,0,0,2.857142857142857,2.9047619047619047,2.9,2.9
2018-01-01,14,1,0,0,0,3.9047619047619047,2.8095238095238093,3.95,2.9
2018-01-01,14,2,1,1,0,3.2857142857142856,2.857142857142857,3.2,2.85
2018-01-01,14,3,0,0,0,3.761904761904762,2.5714285714285716,3.75,2.6
2018-01-01,15,0,0,1,0,3.619047619047619,2.7142857142857144,3.45,2.8
2018-01-01,15,1,1,2,0,2.6666666666666665,2.7142857142857144,2.7,2.7
2018-01-01,15,2,0,0,0,2.8095238095238093,2.761904761904762,2.95,2.8
2018-01-01,15,3,0,0,0,2.619047619047619,3.761904761904762,2.5,3.5
2018-01-01,16,0,0,1,0,4.380952380952381,2.857142857142857,4.4,2.5
2018-01-01,16,1,1,2,0,3.619047619047619,2.857142857142857,3.6,2.55
2018-01-01,16,2,0,1,0,3.857142857142857,2.238095238095238,3.55,2.3
2018-01-01,16,3,1,0,0,2.9047619047619047,2.5238095238095237,2.85,2.5
2018-01-01,17,0,1,0,0,4.857142857142857,3.5714285714285716,4.9,3.3
2018-01-01,17,1,1,0,0,5.761904761904762,4.666666666666667,5.45,4.5
2018-01-01,17,2,0,1,0,6.285714285714286,4.0476190476190474,6.05,4.0
2018-01-01,17,3,0,0,0,5.142857142857143,4.714285714285714,5.05,4.75
2018-01-01,18,0,0,1,0,6.333333333333333,4.428571428571429,6.35,4.45
2018-01-01,18,1,0,0,0,6.0476190476190474,3.9523809523809526,6.05,3.9
2018-01-01,18,2,0,1,0,4.761904761904762,3.238095238095238,4.8,3.3
2018-01-01,18,3,1,0,0,3.857142857142857,2.5714285714285716,3.8,2.5
2018-01-01,19,0,0,0,0,2.6666666666666665,2.2857142857142856,2.75,2.3
2018-01-01,19,1,0,0,0,2.619047619047619,2.238095238095238,2.7,2.15
2018-01-01,19,2,0,0,0,2.380952380952381,2.380952380952381,2.4,2.2
2018-01-01,19,3,1,0,0,2.857142857142857,1.8095238095238095,2.8,1.9
2018-01-01,20,0,0,0,0,2.380952380952381,1.9523809523809523,2.3,1.9
2018-01-01,20,1,0,0,0,2.0952380952380953,1.4285714285714286,2.15,1.4
2018-01-01,20,2,0,0,0,1.3333333333333333,1.0476190476190477,1.35,1.05
2018-01-01,20,3,0,0,0,1.8571428571428572,0.9523809523809523,1.9,1.0
2018-01-01,21,0,0,0,0,1.4285714285714286,0.5714285714285714,1.45,0.55
2018-01-01,21,1,1,0,0,1.1904761904761905,0.6666666666666666,1.05,0.65
2018-01-01,21,2,1,0,0,0.9523809523809523,0.9047619047619048,1.0,0.9
2018-01-01,21,3,0,0,0,0.7619047619047619,0.5238095238095238,0.7,0.45
2018-01-01,22,0,0,0,0,0.42857142857142855,0.38095238095238093,0.4,0.4
2018-01-01,22,1,0,1,0,0.5238095238095238,0.09523809523809523,0.55,0.1
2018-01-01,22,2,0,1,0,0.3333333333333333,0.14285714285714285,0.35,0.15
