date,hour,count_pickup,count_return,day_of_week,historical_average_pickup,historical_average_return,monthly_historical_average_pickup,monthly_historical_average_return
2017-08-01,0,1,0,1,,,,
2017-08-01,1,0,0,1,,,,
2017-08-01,2,0,0,1,,,,
2017-08-01,3,0,0,1,,,,
2017-08-01,4,0,0,1,,,,
2017-08-01,5,1,3,1,,,,
2017-08-01,6,4,3,1,,,,
2017-08-01,7,8,9,1,,,,
2017-08-01,8,24,17,1,,,,
2017-08-01,9,59,25,1,,,,
2017-08-01,10,10,13,1,,,,
2017-08-01,11,8,10,1,,,,
2017-08-01,12,12,12,1,,,,
2017-08-01,13,12,15,1,,,,
2017-08-01,14,11,7,1,,,,
2017-08-01,15,10,6,1,,,,
2017-08-01,16,12,3,1,,,,
2017-08-01,17,25,19,1,,,,
2017-08-01,18,25,32,1,,,,
2017-08-01,19,31,44,1,,,,
2017-08-01,20,17,15,1,,,,
2017-08-01,21,15,12,1,,,,
2017-08-01,22,16,6,1,,,,
2017-08-01,23,5,7,1,,,,
2017-08-02,0,5,5,2,1.0,0.0,,
2017-08-02,1,3,4,2,0.0,0.0,,
2017-08-02,2,1,0,2,0.0,0.0,,
2017-08-02,3,0,0,2,0.0,0.0,,
2017-08-02,4,1,0,2,0.0,0.0,,
2017-08-02,5,1,5,2,1.0,3.0,,
2017-08-02,6,5,10,2,4.0,3.0,,
2017-08-02,7,11,18,2,8.0,9.0,,
2017-08-02,8,27,28,2,24.0,17.0,,
2017-08-02,9,50,24,2,59.0,25.0,,
2017-08-02,10,18,14,2,10.0,13.0,,
2017-08-02,11,11,11,2,8.0,10.0,,
2017-08-02,12,11,7,2,12.0,12.0,,
2017-08-02,13,1,8,2,12.0,15.0,,
2017-08-02,14,9,4,2,11.0,7.0,,
2017-08-02,15,9,8,2,10.0,6.0,,
2017-08-02,16,13,10,2,12.0,3.0,,
2017-08-02,17,5,7,2,25.0,19.0,,
2017-08-02,18,12,15,2,25.0,32.0,,
2017-08-02,19,22,26,2,31.0,44.0,,
2017-08-02,20,12,15,2,17.0,15.0,,
2017-08-02,21,16,12,2,15.0,12.0,,
2017-08-02,22,9,8,2,16.0,6.0,,
2017-08-02,23,9,3,2,5.0,7.0,,
2017-08-03,0,0,3,3,3.0,2.5,,
2017-08-03,1,3,3,3,1.5,2.0,,
2017-08-03,2,1,1,3,0.5,0.0,,
2017-08-03,3,0,0,3,0.0,0.0,,
2017-08-03,4,0,3,3,0.5,0.0,,
2017-08-03,5,4,3,3,1.0,4.0,,
2017-08-03,6,8,10,3,4.5,6.5,,
2017-08-03,7,7,17,3,9.5,13.5,,
2017-08-03,8,16,36,3,25.5,22.5,,
2017-08-03,9,53,21,3,54.5,24.5,,
2017-08-03,10,11,11,3,14.0,13.5,,
2017-08-03,11,11,8,3,9.5,10.5,,
2017-08-03,12,8,8,3,11.5,9.5,,
2017-08-03,13,11,11,3,6.5,11.5,,
2017-08-03,14,12,9,3,10.0,5.5,,
2017-08-03,15,14,8,3,9.5,7.0,,
2017-08-03,16,15,17,3,12.5,6.5,,
2017-08-03,17,27,34,3,15.0,13.0,,
2017-08-03,18,29,32,3,18.5,23.5,,
2017-08-03,19,27,23,3,26.5,35.0,,
2017-08-03,20,15,14,3,14.5,15.0,,
2017-08-03,21,18,13,3,15.5,12.0,,
2017-08-03,22,8,6,3,12.5,7.0,,
2017-08-03,23,13,11,3,7.0,5.0,,
2017-08-04,0,4,5,4,2.0,2.6666666666666665,,
2017-08-04,1,3,2,4,2.0,2.3333333333333335,,
2017-08-04,2,0,3,4,0.6666666666666666,0.3333333333333333,,
