date,hour,count_pickup,count_return,day_of_week,historical_average_pickup,historical_average_return,monthly_historical_average_pickup,monthly_historical_average_return
2018-01-01,0,0,0,0,,,,
2018-01-01,1,0,0,0,,,,
2018-01-01,2,0,1,0,,,,
2018-01-01,3,1,0,0,,,,
2018-01-01,4,0,0,0,,,,
2018-01-01,5,0,0,0,,,,
2018-01-01,6,0,0,0,,,,
2018-01-01,7,1,1,0,,,,
2018-01-01,8,0,0,0,,,,
2018-01-01,9,0,0,0,,,,
2018-01-01,10,0,0,0,,,,
2018-01-01,11,0,0,0,,,,
2018-01-01,12,1,0,0,,,,
2018-01-01,13,0,1,0,,,,
2018-01-01,14,0,1,0,,,,
2018-01-01,15,1,0,0,,,,
2018-01-01,16,1,1,0,,,,
2018-01-01,17,0,0,0,,,,
2018-01-01,18,0,1,0,,,,
2018-01-01,19,0,0,0,,,,
2018-01-01,20,0,0,0,,,,
2018-01-01,21,0,0,0,,,,
2018-01-01,22,0,0,0,,,,
2018-01-01,23,0,0,0,,,,
2018-01-02,0,0,0,1,0.0,0.0,,
2018-01-02,1,0,0,1,0.0,0.0,,
2018-01-02,2,0,0,1,0.0,1.0,,
2018-01-02,3,0,0,1,1.0,0.0,,
2018-01-02,4,0,0,1,0.0,0.0,,
2018-01-02,5,1,0,1,0.0,0.0,,
2018-01-02,6,1,2,1,0.0,0.0,,
2018-01-02,7,3,3,1,1.0,1.0,,
2018-01-02,8,7,7,1,0.0,0.0,,
2018-01-02,9,10,1,1,0.0,0.0,,
2018-01-02,10,0,1,1,0.0,0.0,,
2018-01-02,11,2,1,1,0.0,0.0,,
2018-01-02,12,0,1,1,1.0,0.0,,
2018-01-02,13,1,2,1,0.0,1.0,,
2018-01-02,14,1,3,1,0.0,1.0,,
2018-01-02,15,5,6,1,1.0,0.0,,
2018-01-02,16,1,7,1,1.0,1.0,,
2018-01-02,17,5,14,1,0.0,0.0,,
2018-01-02,18,6,5,1,0.0,1.0,,
2018-01-02,19,0,1,1,0.0,0.0,,
2018-01-02,20,0,1,1,0.0,0.0,,
2018-01-02,21,1,9,1,0.0,0.0,,
2018-01-02,22,0,2,1,0.0,0.0,,
2018-01-02,23,0,0,1,0.0,0.0,,
2018-01-03,0,0,0,2,0.0,0.0,,
2018-01-03,1,0,0,2,0.0,0.0,,
2018-01-03,2,0,0,2,0.0,0.5,,
2018-01-03,3,0,0,2,0.5,0.0,,
2018-01-03,4,0,0,2,0.0,0.0,,
2018-01-03,5,1,0,2,0.5,0.0,,
2018-01-03,6,1,3,2,0.5,1.0,,
2018-01-03,7,1,4,2,2.0,2.0,,
2018-01-03,8,13,12,2,3.5,3.5,,
2018-01-03,9,11,3,2,5.0,0.5,,
2018-01-03,10,2,0,2,0.0,0.5,,
2018-01-03,11,4,0,2,1.0,0.5,,
2018-01-03,12,1,3,2,0.5,0.5,,
2018-01-03,13,3,2,2,0.5,1.5,,
2018-01-03,14,1,3,2,0.5,2.0,,
2018-01-03,15,4,2,2,3.0,3.0,,
2018-01-03,16,3,4,2,1.0,4.0,,
2018-01-03,17,9,24,2,2.5,7.0,,
2018-01-03,18,3,15,2,3.0,3.0,,
2018-01-03,19,1,6,2,0.0,0.5,,
2018-01-03,20,0,2,2,0.0,0.5,,
2018-01-03,21,2,2,2,0.5,4.5,,
2018-01-03,22,0,0,2,0.0,1.0,,
2018-01-03,23,1,1,2,0.0,0.0,,
2018-01-04,0,0,0,3,0.0,0.0,,
2018-01-04,1,0,0,3,0.0,0.0,,
2018-01-04,2,0,0,3,0.0,0.3333333333333333,,
2018-01-04,3,0,0,3,0.3333333333333333,0.0,,
2018-01-04,4,0,0,3,0.0,0.0,,
2018-01-04,5,0,0,3,0.6666666666666666,0.0,,
2018-01-04,6,1,0,3,0.6666666666666666,1.6666666666666667,,
2018-01-04,7,0,0,3,1.6666666666666667,2.6666666666666665,,
2018-01-04,8,1,2,3,6.666666666666667,6.333333333333333,,
2018-01-04,9,0,0,3,7.0,1.3333333333333333,,
2018-01-04,10,0,0,3,0.6666666666666666,0.3333333333333333,,
2018-01-04,11,0,0,3,2.0,0.3333333333333333,,
2018-01-04,12,0,0,3,0.6666666666666666,1.3333333333333333,,
2018-01-04,13,0,0,3,1.3333333333333333,1.6666666666666667,,
2018-01-04,14,0,0,3,0.6666666666666666,2.3333333333333335,,
2018-01-04,15,0,0,3,3.3333333333333335,2.6666666666666665,,
2018-01-04,16,0,0,3,1.6666666666666667,4.0,,
2018-01-04,17,0,2,3,4.666666666666667,12.666666666666666,,
2018-01-04,18,1,1,3,3.0,7.0,,
2018-01-04,19,0,1,3,0.3333333333333333,2.3333333333333335,,
2018-01-04,20,0,0,3,0.0,1.0,,
2018-01-04,21,0,0,3,1.0,3.6666666666666665,,
2018-01-04,22,0,0,3,0.0,0.6666666666666666,,
2018-01-04,23,0,0,3,0.3333333333333333,0.3333333333333333,,
2018-01-05,0,0,0,4,0.0,0.0,,
2018-01-05,1,0,0,4,0.0,0.0,,
2018-01-05,2,0,0,4,0.0,0.25,,
2018-01-05,3,0,0,4,0.25,0.0,,
2018-01-05,4,0,0,4,0.0,0.0,,
2018-01-05,5,0,0,4,0.5,0.0,,
2018-01-05,6,1,0,4,0.75,1.25,,
2018-01-05,7,0,0,4,1.25,2.0,,
2018-01-05,8,0,1,4,5.25,5.25,,
2018-01-05,9,0,0,4,5.25,1.0,,
2018-01-05,10,0,0,4,0.5,0.25,,
2018-01-05,11,0,0,4,1.5,0.25,,
2018-01-05,12,1,0,4,0.5,1.0,,
2018-01-05,13,0,0,4,1.0,1.25,,
2018-01-05,14,0,0,4,0.5,1.75,,
