date,hour,temprature,precip_prob,wind_speed
1/1/2017,20,8.3,0,2.6
1/2/2017,20,4.4,0.03,4.1
1/3/2017,20,5.6,0.2,5.7
1/4/2017,20,10,0,5.1
1/5/2017,20,0,0,0
1/6/2017,20,0,0,3.6
1/7/2017,20,-6.7,0.1,2.6
1/8/2017,20,-4.4,0,2.6
1/9/2017,20,-5,0,1.5
1/10/2017,20,2.2,0,1.5
1/11/2017,20,10.6,0,1.5
1/12/2017,20,18.3,0,4.1
1/13/2017,20,5.6,0,3.6
1/14/2017,20,-1.7,0.1,1.5
1/15/2017,20,3.3,0,1.5
1/16/2017,20,5.6,0,3.6
1/17/2017,20,4.4,0.03,3.1
1/18/2017,20,5,0,2.6
1/19/2017,20,6.7,0,3.6
1/20/2017,20,5.6,0.03,1.5
1/21/2017,20,7.2,0,1.5
1/22/2017,20,7.8,0.03,4.6
1/23/2017,20,3.3,0.05,9.3
1/24/2017,20,2.2,0.05,2.6
1/25/2017,20,8.9,0,2.6
1/26/2017,20,8.9,0,7.7
1/27/2017,20,5,0,0
1/28/2017,20,2.8,0,3.6
1/29/2017,20,5.6,0,2.1
1/30/2017,20,2.2,0,4.6
1/31/2017,20,-1.1,0,3.1
2/1/2017,20,7.8,0,2.6
2/2/2017,20,5.6,0,2.6
2/3/2017,20,0.6,0,0
2/4/2017,20,1.1,0,4.1
2/5/2017,20,5,0,3.6
2/6/2017,20,8.9,0,2.6
2/7/2017,20,2.8,0,4.1
2/8/2017,20,13.9,0,3.6
2/9/2017,20,-3.9,0,5.7
2/10/2017,20,-0.6,0,3.6
2/11/2017,20,8.3,0,2.1
2/12/2017,20,0.6,0.05,3.1
2/13/2017,20,1.7,0,2.6
2/14/2017,20,3.9,0,3.1
2/15/2017,20,7.8,0,0
2/16/2017,20,1.1,0,6.2
2/17/2017,20,5,0,3.1
2/18/2017,20,17.2,0,3.1
2/19/2017,20,17.8,0,3.6
2/20/2017,20,11.7,0,2.6
2/21/2017,20,6.7,0,0
2/22/2017,20,13.9,0,2.6
