id,address,longitude,latitude,capacity,has_kiosk,station_type
72,W 52 St & 11 Ave,-73.99392888,40.76727216,55,True,classic
79,Franklin St & W Broadway,-74.00666661,40.71911552,33,True,classic
82,St James Pl & Pearl St,-74.00016545,40.71117416,27,True,classic
83,Atlantic Ave & Fort Greene Pl,-73.97632328,40.68382604,62,True,classic
116,W 17 St & 8 Ave,-74.00149746,40.74177603,50,True,classic
119,Park Ave & St Edwards St,-73.97803415,40.69608941,19,True,classic
120,Lexington Ave & Classon Ave,-73.95928168,40.68676793,19,True,classic
127,Barrow St & Hudson St,-74.00674436,40.73172428,31,True,classic
128,MacDougal St & Prince St,-74.00297088,40.72710258,30,True,classic
143,Clinton St & Joralemon St,-73.99337909,40.69239502,24,True,classic
144,Nassau St & Navy St,-73.98068914,40.69839895,58,True,classic
146,Hudson St & Reade St,-74.0091059,40.71625008,39,True,classic
150,E 2 St & Avenue C,-73.98085795,40.7208736,55,True,classic
151,Cleveland Pl & Spring St,-73.99724900722504,40.722103786686034,33,True,classic
157,Henry St & Atlantic Ave,-73.99612349,40.69089272,23,True,classic
161,LaGuardia Pl & W 3 St,-73.99810231,40.72917025,35,True,classic
164,E 47 St & 2 Ave,-73.97032517,40.75323098,47,True,classic
167,E 39 St & 3 Ave,-73.97604882,40.7489006,45,True,classic
168,W 18 St & 6 Ave,-73.99456405,40.73971301,47,True,classic
173,Broadway & W 49 St,-73.9845272898674,40.76068327096592,70,True,classic
174,E 25 St & 1 Ave,-73.97738662,40.7381765,30,True,classic
195,Liberty St & Broadway,-74.01043382,40.70905623,45,True,classic
212,W 16 St & The High Line,-74.00681753,40.74334935,60,True,classic
216,Columbia Heights & Cranberry St,-73.99548059,40.70037867,23,True,classic
217,Old Fulton St,-73.99383605,40.70277159,39,True,classic
223,W 13 St & 7 Ave,-73.99994661,40.73781509,33,True,classic
224,Spruce St & Nassau St,-74.00552427,40.71146364,31,True,classic
228,E 48 St & 3 Ave,-73.971878855,40.7546011026,55,True,classic
229,Great Jones St,-73.99379025,40.72743423,23,True,classic
236,St Marks Pl & 2 Ave,-73.98713956,40.7284186,47,True,classic
237,E 11 St & 2 Ave,-73.98672378,40.73047309,39,True,classic
