,date,hour,hourQuarter,temperature,dew_point_temperature,sunrise,precip_prob,humidity,wind_speed,icon_clear,icon_cloudy,icon_fog,icon_partly-cloudy,icon_rain,icon_sleet,icon_snow
0,1/1/2018,0,0,-11.1,-20.6,0,0.0,0.6,5.57,1,0,0,0,0,0,0
1,1/1/2018,0,1,-11.1,-20.6,0,0.0,0.6,5.57,1,0,0,0,0,0,0
2,1/1/2018,1,0,-11.7,-20.6,0,0.0,0.61,5.17,1,0,0,0,0,0,0
3,1/1/2018,1,1,-11.7,-20.6,0,0.0,0.61,5.17,1,0,0,0,0,0,0
4,1/1/2018,2,0,-12.2,-20.6,0,0.0,0.62,4.66,1,0,0,0,0,0,0
5,1/1/2018,2,1,-12.2,-20.6,0,0.0,0.62,4.66,1,0,0,0,0,0,0
6,1/1/2018,3,0,-12.2,-20.0,0,0.0,0.62,4.38,1,0,0,0,0,0,0
7,1/1/2018,3,1,-12.2,-20.0,0,0.0,0.62,4.38,1,0,0,0,0,0,0
8,1/1/2018,4,0,-12.8,-20.0,0,0.0,0.62,4.19,1,0,0,0,0,0,0
9,1/1/2018,4,1,-12.8,-20.0,0,0.0,0.62,4.19,1,0,0,0,0,0,0
10,1/1/2018,5,0,-12.8,-20.0,0,0.0,0.62,4.83,1,0,0,0,0,0,0
11,1/1/2018,5,1,-12.8,-20.0,0,0.0,0.62,4.83,1,0,0,0,0,0,0
12,1/1/2018,6,0,-12.8,-20.0,0,0.0,0.63,4.58,1,0,0,0,0,0,0
13,1/1/2018,6,1,-12.8,-20.0,0,0.0,0.63,4.58,1,0,0,0,0,0,0
14,1/1/2018,7,0,-13.3,-20.0,0,0.0,0.64,4.4,1,0,0,0,0,0,0
15,1/1/2018,7,1,-13.3,-20.0,0,0.0,0.64,4.4,1,0,0,0,0,0,0
16,1/1/2018,8,0,-13.3,-20.6,1,0.0,0.65,4.05,1,0,0,0,0,0,0
17,1/1/2018,8,1,-13.3,-20.6,1,0.0,0.65,4.05,1,0,0,0,0,0,0
