date,hour,temperature,dew_point_temperature,sunrise,precip_prob,humidity,wind_speed,icon_clear,icon_cloudy,icon_fog,icon_partly-cloudy,icon_rain,icon_sleet,icon_snow
1/1/2018,0,-11.1,-20.6,0,0,0.6,5.57,1,0,0,0,0,0,0
1/1/2018,1,-11.7,-20.6,0,0,0.61,5.17,1,0,0,0,0,0,0
1/1/2018,2,-12.2,-20.6,0,0,0.62,4.66,1,0,0,0,0,0,0
1/1/2018,3,-12.2,-20,0,0,0.62,4.38,1,0,0,0,0,0,0
1/1/2018,4,-12.8,-20,0,0,0.62,4.19,1,0,0,0,0,0,0
1/1/2018,5,-12.8,-20,0,0,0.62,4.83,1,0,0,0,0,0,0
1/1/2018,6,-12.8,-20,0,0,0.63,4.58,1,0,0,0,0,0,0
1/1/2018,7,-13.3,-20,0,0,0.64,4.4,1,0,0,0,0,0,0
1/1/2018,8,-13.3,-20.6,1,0,0.65,4.05,1,0,0,0,0,0,0
1/1/2018,9,-13.3,-20.6,1,0,0.62,4.61,1,0,0,0,0,0,0
1/1/2018,10,-13.9,-20.6,1,0,0.57,5.86,1,0,0,0,0,0,0
1/1/2018,11,-13.9,-20.6,1,0,0.52,6.2,1,0,0,0,0,0,0
1/1/2018,12,-13.9,-20,1,0,0.49,6.24,1,0,0,0,0,0,0
1/1/2018,13,-13.3,-19.4,1,0,0.45,6.4,1,0,0,0,0,0,0
1/1/2018,14,-11.7,-19.4,1,0,0.42,6.13,1,0,0,0,0,0,0
1/1/2018,15,-11.1,-20,1,0,0.39,5.69,1,0,0,0,0,0,0
1/1/2018,16,-10,-20,1,0,0.39,5.67,1,0,0,0,0,0,0
1/1/2018,17,-9.4,-20.6,0,0,0.41,2.89,1,0,0,0,0,0,0
1/1/2018,18,-8.3,-20.6,0,0,0.42,2.88,1,0,0,0,0,0,0
1/1/2018,19,-7.8,-20.6,0,0,0.45,2.06,1,0,0,0,0,0,0
1/1/2018,20,-7.8,-21.1,0,0,0.48,2.31,1,0,0,0,0,0,0
1/1/2018,21,-7.8,-20.6,0,0,0.5,2.61,1,0,0,0,0,0,0
1/1/2018,22,-7.8,-21.1,0,0,0.55,4.34,1,0,0,0,0,0,0
1/1/2018,23,-8.3,-20,0,0,0.6,4.63,1,0,0,0,0,0,0
1/2/2018,0,-8.3,-20,0,0,0.61,4.3,1,0,0,0,0,0,0
